query	target	qlen	tlen	bits	evalue
DQ680852~NA-C_12/C_13/C_16	NM_180821~NA-C_7	490	518	57	1.322E-10
DQ680852~NA-C_12/C_13/C_16	NM_123623~NA-C_23	490	497	56	2.679E-10
DQ680852~NA-C_12/C_13/C_16	AB206579~NA-C_22	490	506	55	5.431E-10
DQ680852~NA-C_12/C_13/C_16	KC963423~NA-C_16	490	478	44	1.274E-06
DQ680852~NA-C_12/C_13/C_16	NA~Kt_281-unknown	490	520	44	1.274E-06
LC143440~NA-C_21	LC143440~NA-C_21	511	511	1047	0.000E+00
LC143440~NA-C_21	DQ335780~NA-C_2	511	520	655	2.366E-212
LC143440~NA-C_21	DQ335782~NA-C_23	511	520	632	2.127E-204
LC143440~NA-C_21	AB558153~NA-C_30	511	523	620	2.996E-200
LC143440~NA-C_21	KT150517~NA-C_23	511	520	592	1.428E-190
LC143440~NA-C_21	AB558146~NA-C_30	511	524	590	7.010E-190
LC143440~NA-C_21	AB558147~NA-C_29	511	524	587	7.628E-189
LC143440~NA-C_21	AB558145~NA-C_22	511	528	569	1.263E-182
LC143440~NA-C_21	MF596155~NA-C_24	511	519	405	4.404E-126
LC143440~NA-C_21	AB223041~NA-C_26	511	515	360	1.249E-110
LC143440~NA-C_21	OQ107266~NA-C_23	511	507	268	3.245E-79
LC143440~NA-C_21	KF460438~NA-C_28	511	496	121	1.785E-30
LC143440~NA-C_21	MK803264~NA-C_21	511	501	107	4.730E-26
LC143440~NA-C_21	MN621244~NA-C_29	511	513	107	4.730E-26
LC143440~NA-C_21	MN621245~NA-C_29	511	514	107	4.730E-26
LC143440~NA-C_21	LC456843~NA-C_23	511	510	100	7.375E-24
LC143440~NA-C_21	KM655856~NA-C_25	511	508	98	3.106E-23
LC143440~NA-C_21	MN621243~NA-C_29	511	511	97	6.369E-23
LC143440~NA-C_21	NM_123623~NA-C_23	511	497	94	5.476E-22
LC143440~NA-C_21	MK829814~NA-C_29	511	511	93	1.121E-21
LC143440~NA-C_21	CBN88268.1~NA-C_28	511	479	91	4.688E-21
LC143440~NA-C_21	DQ335781~NA-C_28	511	479	91	4.688E-21
LC143440~NA-C_21	MK803271~NA-C_23/C_24/C_25	511	512	91	4.688E-21
LC143440~NA-C_21	KU878852~NA-C_2	511	475	89	1.958E-20
LC143440~NA-C_21	NM_001341032.1~NA-C_15/C_16	511	485	89	1.958E-20
LC143440~NA-C_21	AB219423~NA-C_22	511	495	89	1.958E-20
LC143440~NA-C_21	NM_117621~NA-C_15/C_16	511	513	89	1.958E-20
LC143440~NA-C_21	BAU61505.1~NA-C_16/C_22/C_28	511	473	88	3.998E-20
LC143440~NA-C_21	LC106013~NA-C_16/C_22/C_28	511	473	88	3.998E-20
LC143440~NA-C_21	AEX07772.1~NA-C_28	511	480	88	3.998E-20
LC143440~NA-C_21	JN565975~NA-C_28	511	480	88	3.998E-20
LC143440~NA-C_21	AEX07773~NA-C_28	511	480	88	3.998E-20
LC143440~NA-C_21	AEY75217~NA-C_12	511	505	88	3.998E-20
LC143440~NA-C_21	APZ88353.1~NA-C_28	511	481	86	1.666E-19
LC143440~NA-C_21	APZ88353.1~NA-C_28	511	481	86	1.666E-19
LC143440~NA-C_21	MG708191~NA-C_2	511	485	85	3.398E-19
LC143440~NA-C_21	AF135485~NA-C_24	511	513	85	3.398E-19
LC143440~NA-C_21	KF906535~NA-C_24	511	510	84	6.929E-19
LC143440~NA-C_21	QIH97367.1~NA-C_28	511	477	83	1.412E-18
LC143440~NA-C_21	OP821088~NA-C_28	511	479	83	1.412E-18
LC143440~NA-C_21	AOG74831.1~NA-C_28	511	482	83	1.412E-18
LC143440~NA-C_21	AZS32333.1~NA-C_28	511	497	83	1.412E-18
LC143440~NA-C_21	MG708188~NA-C_28	511	497	83	1.412E-18
LC143440~NA-C_21	KT150521~NA-C_28	511	481	82	2.878E-18
LC143440~NA-C_21	BAW34647.1~NA-C_28/C_22	511	481	82	2.878E-18
LC143440~NA-C_21	AOG74832.1~NA-C_28	511	481	82	2.878E-18
LC143440~NA-C_21	BAP59952.1~NA-C_28	511	481	82	2.878E-18
LC143440~NA-C_21	ALO23117.1~NA-C_28	511	481	82	2.878E-18
LC143440~NA-C_21	K4CEE8.1~NA-C_28	511	482	82	2.878E-18
LC143440~NA-C_21	KU878851~NA-C_6	511	477	81	5.863E-18
LC143440~NA-C_21	AOG74834.1~NA-C_6	511	477	81	5.863E-18
LC143440~NA-C_21	AFZ40057.1~NA-C_28	511	478	81	5.863E-18
LC143440~NA-C_21	JQ958967~NA-C_28	511	478	81	5.863E-18
LC143440~NA-C_21	AOG74836.1~NA-C_28	511	479	81	5.863E-18
LC143440~NA-C_21	NP_001268115.1~NA-C_28	511	480	81	5.863E-18
LC143440~NA-C_21	AB619802~NA-C_28	511	480	81	5.863E-18
LC143440~NA-C_21	ALR73782.1~NA-C_28	511	475	80	1.194E-17
LC143440~NA-C_21	ANY30853.1~NA-C_28	511	483	79	2.431E-17
LC143440~NA-C_21	KX343075~NA-C_28	511	483	79	2.431E-17
LC143440~NA-C_21	AB433179~NA-C_11	511	493	79	2.431E-17
LC143440~NA-C_21	OQ107248~NA-C_16	511	501	79	2.431E-17
LC143440~NA-C_21	OP821090~NA-C_2	511	473	78	4.947E-17
LC143440~NA-C_21	ANY30854.1~NA-C_28	511	483	78	4.947E-17
LC143440~NA-C_21	OP821089~NA-C_2	511	473	77	1.007E-16
LC143440~NA-C_21	ALR73781.1~NA-Unkown	511	475	77	1.007E-16
LC143440~NA-C_21	A0A3Q7HBJ5.1~NA-C_28	511	476	77	1.007E-16
LC143440~NA-C_21	AFO63032.1~NA-C_28	511	481	77	1.007E-16
LC143440~NA-C_21	AY552551~NA-14α_demethylation	511	487	77	1.007E-16
LC143440~NA-C_21	AFZ40058.1~NA-C_28	511	477	76	2.047E-16
LC143440~NA-C_21	JQ958968~NA-C_28	511	477	76	2.047E-16
LC143440~NA-C_21	AZS32332.1~NA-C_28	511	480	76	2.047E-16
LC143440~NA-C_21	MG708187~NA-C_28	511	480	76	2.047E-16
LC143440~NA-C_21	AOG74838.1~NA-C_28/C_16	511	481	76	2.047E-16
LC143440~NA-C_21	AB223043~NA-C_22	511	501	76	2.047E-16
LC143440~NA-C_21	NM_124173~NA-C_15/C_16	511	511	76	2.047E-16
LC143440~NA-C_21	OQ107260~NA-C_28	511	480	75	4.163E-16
LC143440~NA-C_21	AHL46848.1~NA-C_28	511	481	75	4.163E-16
LC143440~NA-C_21	AOG74849.1~NA-cycloartane	511	485	75	4.163E-16
LC143440~NA-C_21	KU878866~NA-unknown_regioselectivity	511	485	75	4.163E-16
LC143440~NA-C_21	ON108679~NA-C_1	511	489	75	4.163E-16
LC143440~NA-C_21	Q9LVY7.1~NA-C_28	511	477	73	1.720E-15
LC143440~NA-C_21	NM_123002~NA-C_28	511	477	73	1.720E-15
LC143440~NA-C_21	NP_001268076.1~NA-C_28	511	480	73	1.720E-15
LC143440~NA-C_21	AB619803~NA-C_28	511	480	73	1.720E-15
LC143440~NA-C_21	JX036031~NA-C_6	511	469	72	3.495E-15
LC143440~NA-C_21	AFO63031~NA-C_6	511	469	72	3.495E-15
LC143440~NA-C_21	AFO63031.1~NA-C_6	511	469	72	3.495E-15
LC143440~NA-C_21	MW514556~NA-C_16	511	479	72	3.495E-15
LC143440~NA-C_21	ON108670~NA-C_25/C_2	511	491	72	3.495E-15
LC143440~NA-C_21	KC963423~NA-C_16	511	478	70	1.442E-14
LC143440~NA-C_21	AB206579~NA-C_22	511	506	70	1.442E-14
LC143440~NA-C_21	KF318733~NA-C_28	511	487	69	2.927E-14
LC143440~NA-C_21	AHF22088.1~NA-C_28	511	487	69	2.927E-14
LC143440~NA-C_21	LC456844~NA-C_19/C_5/C_19	511	494	69	2.927E-14
LC143440~NA-C_21	LC456845~NA-C_7	511	494	69	2.927E-14
LC143440~NA-C_21	AXU93523.1~NA-C_3	511	473	68	5.943E-14
LC143440~NA-C_21	NA~Kt_281-unknown	511	520	67	1.206E-13
LC143440~NA-C_21	KF309251~NA-C_3	511	474	66	2.447E-13
LC143440~NA-C_21	AHF22083.1~Positive_Control-C_3	511	474	66	2.447E-13
LC143440~NA-C_21	ON108677~NA-C_7/C_28	511	491	66	2.447E-13
LC143440~NA-C_21	JN604536~NA-C_12	511	486	65	4.965E-13
LC143440~NA-C_21	APG38190.1~NA-C_16	511	495	65	4.965E-13
LC143440~NA-C_21	KY047600~NA-C_16	511	495	65	4.965E-13
LC143440~NA-C_21	X87367~NA-C_3	511	472	64	1.007E-12
LC143440~NA-C_21	AOG74847.1~NA-C_28	511	480	64	1.007E-12
LC143440~NA-C_21	KU878864~NA-C_28	511	480	64	1.007E-12
LC143440~NA-C_21	MW514551~NA-C_22	511	478	63	2.042E-12
LC143440~NA-C_21	MW514550~NA-C_22	511	478	62	4.140E-12
LC143440~NA-C_21	MF120282~NA-C_2	511	476	61	8.393E-12
LC143440~NA-C_21	AB087801~NA-Baeyer_Villiger/C_6	511	465	59	3.447E-11
LC143440~NA-C_21	NM_001344756.1~NA-C_7	511	477	59	3.447E-11
LC143440~NA-C_21	NM_180821~NA-C_7	511	518	59	3.447E-11
LC143440~NA-C_21	AB035868~NA-C_6	511	465	58	6.984E-11
LC143440~NA-C_21	HQ128570~NA-C_11	511	473	49	3.991E-08
LC143440~NA-C_21	KM655862~NA-C_11/C_20	511	474	49	3.991E-08
LC143440~NA-C_21	Csa1G044890~NA-C_11/C_20	511	474	49	3.991E-08
LC143440~NA-C_21	KF318735~NA-C_16	511	475	46	3.303E-07
LC143440~NA-C_21	NM_001308937~NA-C_19	511	463	45	6.680E-07
KF318733~NA-C_28	KF318733~NA-C_28	487	487	1013	0.000E+00
KF318733~NA-C_28	AHF22088.1~NA-C_28	487	487	1013	0.000E+00
KF318733~NA-C_28	OP821088~NA-C_28	487	479	787	1.683E-258
KF318733~NA-C_28	AFZ40058.1~NA-C_28	487	477	771	5.849E-253
KF318733~NA-C_28	JQ958968~NA-C_28	487	477	771	5.849E-253
KF318733~NA-C_28	AEX07772.1~NA-C_28	487	480	766	3.152E-251
KF318733~NA-C_28	JN565975~NA-C_28	487	480	766	3.152E-251
KF318733~NA-C_28	AEX07773~NA-C_28	487	480	766	3.152E-251
KF318733~NA-C_28	A0A3Q7HBJ5.1~NA-C_28	487	476	759	8.366E-249
KF318733~NA-C_28	AOG74831.1~NA-C_28	487	482	757	4.121E-248
KF318733~NA-C_28	AZS32333.1~NA-C_28	487	497	754	4.506E-247
KF318733~NA-C_28	MG708188~NA-C_28	487	497	754	4.506E-247
KF318733~NA-C_28	QIH97367.1~NA-C_28	487	477	753	1.000E-246
KF318733~NA-C_28	AOG74832.1~NA-C_28	487	481	752	2.220E-246
KF318733~NA-C_28	APZ88353.1~NA-C_28	487	481	749	2.427E-245
KF318733~NA-C_28	APZ88353.1~NA-C_28	487	481	749	2.427E-245
KF318733~NA-C_28	OQ107260~NA-C_28	487	480	744	1.307E-243
KF318733~NA-C_28	KT150521~NA-C_28	487	481	743	2.901E-243
KF318733~NA-C_28	ALO23117.1~NA-C_28	487	481	743	2.901E-243
KF318733~NA-C_28	AOG74836.1~NA-C_28	487	479	741	1.429E-242
KF318733~NA-C_28	K4CEE8.1~NA-C_28	487	482	738	1.562E-241
KF318733~NA-C_28	AFZ40057.1~NA-C_28	487	478	737	3.467E-241
KF318733~NA-C_28	JQ958967~NA-C_28	487	478	737	3.467E-241
KF318733~NA-C_28	AZS32332.1~NA-C_28	487	480	733	8.410E-240
KF318733~NA-C_28	MG708187~NA-C_28	487	480	733	8.410E-240
KF318733~NA-C_28	AFO63032.1~NA-C_28	487	481	733	8.410E-240
KF318733~NA-C_28	AHL46848.1~NA-C_28	487	481	732	1.866E-239
KF318733~NA-C_28	NP_001268115.1~NA-C_28	487	480	726	2.230E-237
KF318733~NA-C_28	AB619802~NA-C_28	487	480	726	2.230E-237
KF318733~NA-C_28	NP_001268076.1~NA-C_28	487	480	718	1.311E-234
KF318733~NA-C_28	AB619803~NA-C_28	487	480	718	1.311E-234
KF318733~NA-C_28	ANY30853.1~NA-C_28	487	483	711	3.475E-232
KF318733~NA-C_28	KX343075~NA-C_28	487	483	711	3.475E-232
KF318733~NA-C_28	ANY30854.1~NA-C_28	487	483	709	1.711E-231
KF318733~NA-C_28	CBN88268.1~NA-C_28	487	479	701	1.006E-228
KF318733~NA-C_28	DQ335781~NA-C_28	487	479	701	1.006E-228
KF318733~NA-C_28	BAP59952.1~NA-C_28	487	481	698	1.098E-227
KF318733~NA-C_28	BAW34647.1~NA-C_28/C_22	487	481	689	1.432E-224
KF318733~NA-C_28	AOG74847.1~NA-C_28	487	480	655	8.346E-213
KF318733~NA-C_28	KU878864~NA-C_28	487	480	655	8.346E-213
KF318733~NA-C_28	KF309251~NA-C_3	487	474	639	2.864E-207
KF318733~NA-C_28	AHF22083.1~Positive_Control-C_3	487	474	639	2.864E-207
KF318733~NA-C_28	Q9LVY7.1~NA-C_28	487	477	588	1.244E-189
KF318733~NA-C_28	NM_123002~NA-C_28	487	477	588	1.244E-189
KF318733~NA-C_28	OQ107248~NA-C_16	487	501	570	2.076E-183
KF318733~NA-C_28	BAU61505.1~NA-C_16/C_22/C_28	487	473	566	5.008E-182
KF318733~NA-C_28	LC106013~NA-C_16/C_22/C_28	487	473	566	5.008E-182
KF318733~NA-C_28	AOG74849.1~NA-cycloartane	487	485	552	3.450E-177
KF318733~NA-C_28	KU878866~NA-unknown_regioselectivity	487	485	552	3.450E-177
KF318733~NA-C_28	ALR73782.1~NA-C_28	487	475	548	8.317E-176
KF318733~NA-C_28	APG38190.1~NA-C_16	487	495	547	1.843E-175
KF318733~NA-C_28	KY047600~NA-C_16	487	495	547	1.843E-175
KF318733~NA-C_28	ALR73781.1~NA-Unkown	487	475	540	4.830E-173
KF318733~NA-C_28	AXU93523.1~NA-C_3	487	473	535	2.578E-171
KF318733~NA-C_28	KU878851~NA-C_6	487	477	507	1.205E-161
KF318733~NA-C_28	AOG74834.1~NA-C_6	487	477	507	1.205E-161
KF318733~NA-C_28	AOG74838.1~NA-C_28/C_16	487	481	491	4.019E-156
KF318733~NA-C_28	JX036031~NA-C_6	487	469	490	8.897E-156
KF318733~NA-C_28	AFO63031~NA-C_6	487	469	490	8.897E-156
KF318733~NA-C_28	AFO63031.1~NA-C_6	487	469	490	8.897E-156
KF318733~NA-C_28	JN604536~NA-C_12	487	486	489	1.970E-155
KF318733~NA-C_28	MG708191~NA-C_2	487	485	475	1.334E-150
KF318733~NA-C_28	KU878852~NA-C_2	487	475	463	1.838E-146
KF318733~NA-C_28	OP821089~NA-C_2	487	473	460	1.990E-145
KF318733~NA-C_28	OP821090~NA-C_2	487	473	459	4.403E-145
KF318733~NA-C_28	KC963423~NA-C_16	487	478	452	1.141E-142
KF318733~NA-C_28	MF120282~NA-C_2	487	476	413	3.121E-129
KF318733~NA-C_28	NA~Kt_2465-unknown	487	461	250	2.030E-73
KF318733~NA-C_28	NA~Kt_444-unknown	487	428	220	2.857E-63
KF318733~NA-C_28	AB206579~NA-C_22	487	506	217	2.930E-62
KF318733~NA-C_28	X87367~NA-C_3	487	472	214	2.999E-61
KF318733~NA-C_28	AB433179~NA-C_11	487	493	206	1.466E-58
KF318733~NA-C_28	AB087801~NA-Baeyer_Villiger/C_6	487	465	190	3.342E-53
KF318733~NA-C_28	LC456845~NA-C_7	487	494	183	7.211E-51
KF318733~NA-C_28	AB035868~NA-C_6	487	465	180	7.181E-50
KF318733~NA-C_28	LC456844~NA-C_19/C_5/C_19	487	494	168	6.841E-46
KF318733~NA-C_28	KF318735~NA-C_16	487	475	160	2.980E-43
KF318733~NA-C_28	KM655862~NA-C_11/C_20	487	474	156	6.154E-42
KF318733~NA-C_28	Csa1G044890~NA-C_11/C_20	487	474	156	6.154E-42
KF318733~NA-C_28	HQ128570~NA-C_11	487	473	155	1.310E-41
KF318733~NA-C_28	NM_001344756.1~NA-C_7	487	477	120	2.884E-30
KF318733~NA-C_28	NM_180821~NA-C_7	487	518	120	2.884E-30
KF318733~NA-C_28	MW514556~NA-C_16	487	479	114	2.356E-28
KF318733~NA-C_28	NM_001308937~NA-C_19	487	463	111	2.110E-27
KF318733~NA-C_28	MW514550~NA-C_22	487	478	110	4.377E-27
KF318733~NA-C_28	MW514551~NA-C_22	487	478	109	9.074E-27
KF318733~NA-C_28	AB219423~NA-C_22	487	495	103	7.103E-25
KF318733~NA-C_28	AB233425~NA-C_22	487	499	101	3.023E-24
KF318733~NA-C_28	AB223043~NA-C_22	487	501	89	1.713E-20
KF318733~NA-C_28	AEY75217~NA-C_12	487	505	83	1.255E-18
KF318733~NA-C_28	ON108670~NA-C_25/C_2	487	491	82	2.562E-18
KF318733~NA-C_28	KF906536~NA-C_24	487	510	81	5.231E-18
KF318733~NA-C_28	KF906537~NA-C_24	487	510	81	5.231E-18
KF318733~NA-C_28	AB437320~NA-C_24	487	514	81	5.231E-18
KF318733~NA-C_28	MK803271~NA-C_23/C_24/C_25	487	512	79	2.178E-17
KF318733~NA-C_28	KF906539~NA-C_24	487	524	79	2.178E-17
KF318733~NA-C_28	KF906538~NA-C_24	487	525	79	2.178E-17
KF318733~NA-C_28	DQ335782~NA-C_23	487	520	78	4.441E-17
KF318733~NA-C_28	OQ107266~NA-C_23	487	507	77	9.052E-17
KF318733~NA-C_28	LC456843~NA-C_23	487	510	76	1.845E-16
KF318733~NA-C_28	DQ335780~NA-C_2	487	520	76	1.845E-16
KF318733~NA-C_28	ON108677~NA-C_7/C_28	487	491	75	3.758E-16
KF318733~NA-C_28	AF135485~NA-C_24	487	513	75	3.758E-16
KF318733~NA-C_28	MN621244~NA-C_29	487	513	75	3.758E-16
KF318733~NA-C_28	DQ335790~NA-C_24	487	514	75	3.758E-16
KF318733~NA-C_28	MN621245~NA-C_29	487	514	75	3.758E-16
KF318733~NA-C_28	MF596155~NA-C_24	487	519	75	3.758E-16
KF318733~NA-C_28	KF906535~NA-C_24	487	510	74	7.652E-16
KF318733~NA-C_28	NA~Kt_281-unknown	487	520	74	7.652E-16
KF318733~NA-C_28	LC143440~NA-C_21	487	511	72	3.170E-15
KF318733~NA-C_28	AB558147~NA-C_29	487	524	72	3.170E-15
KF318733~NA-C_28	MN621243~NA-C_29	487	511	71	6.450E-15
KF318733~NA-C_28	MK829814~NA-C_29	487	511	71	6.450E-15
KF318733~NA-C_28	NM_124173~NA-C_15/C_16	487	511	70	1.312E-14
KF318733~NA-C_28	AB558146~NA-C_30	487	524	70	1.312E-14
KF318733~NA-C_28	AB558153~NA-C_30	487	523	69	2.668E-14
KF318733~NA-C_28	NM_001341032.1~NA-C_15/C_16	487	485	68	5.423E-14
KF318733~NA-C_28	NM_117621~NA-C_15/C_16	487	513	68	5.423E-14
KF318733~NA-C_28	KF460438~NA-C_28	487	496	66	2.239E-13
KF318733~NA-C_28	NM_123623~NA-C_23	487	497	64	9.239E-13
KF318733~NA-C_28	MK803264~NA-C_21	487	501	63	1.876E-12
