query	target	cigar	qstart	qend	qlen	tstart	tend	tlen	alnlen
A0A3Q7HBJ5_1_NA_C_28	KU878851_NA_C_6	5M1D14M4D31M4I67M1D5M1D348M	1	474	476	1	477	477	481
A0A3Q7HBJ5_1_NA_C_28	AOG74838_1_NA_C_28_C_16	29M1D237M6D208M	1	474	476	1	481	481	481
A0A3Q7HBJ5_1_NA_C_28	JN604536_NA_C_12	22M11D7M1D222M1D220M2I2M	1	475	476	1	486	486	488
A0A3Q7HBJ5_1_NA_C_28	MG708191_NA_C_2	25M1D20M4I63M8D14M1D5M5D116M2I151M1D70M	3	472	476	6	485	485	486
A0A3Q7HBJ5_1_NA_C_28	KC963423_NA_C_16	3M3D156M1I316M	1	476	476	1	478	478	479
A0A3Q7HBJ5_1_NA_C_28	KU878852_NA_C_2	21M2D19M4I68M9D11M1I118M2I14M1D136M1D71M	8	472	476	5	475	475	478
A0A3Q7HBJ5_1_NA_C_28	OP821090_NA_C_2	48M4I61M3D6M7D8M4I118M2I153M1D67M	1	471	476	1	472	473	482
A0A3Q7HBJ5_1_NA_C_28	MF120282_NA_C_2	47M4I66M3D3M1D10M1D116M1I3M1I151M1D74M	1	476	476	1	476	476	482
A0A3Q7HBJ5_1_NA_C_28	OP821089_NA_C_2	47M4I63M1D5M9D8M4I118M2I150M1D70M	1	471	476	1	472	473	482
A0A3Q7HBJ5_1_NA_C_28	X87367_NA_C_3	28M1D40M1I39M1D9M3D5M3I18M1D13M3I87M1I14M2I3M2I135M3D45M1I27M	1	476	476	1	472	472	485
A0A3Q7HBJ5_1_NA_C_28	LC456845_NA_C_7	4M2D15M9D8M4D27M1D13M1D28M1I16M2D7M3I63M3D2M2I20M1D59M1D58M1D138M1D2M1D4M	1	470	476	1	491	494	497
A0A3Q7HBJ5_1_NA_C_28	NA_Kt_2465_unknown	16M3D8M1D21M4I15M1I43M1D4M3D8M3I31M1I3M1I61M4I23M1I7M2I5M2I49M3I84M1I67M	5	472	476	4	456	461	476
A0A3Q7HBJ5_1_NA_C_28	LC456844_NA_C_19_C_5_C_19	4M2D15M9D9M4D26M1D12M1D30M1I18M2D4M3I63M1D24M1D59M1D56M1D140M1D2M1D5M	1	471	476	1	492	494	496
A0A3Q7HBJ5_1_NA_C_28	AB206579_NA_C_22	20M12D45M1I43M1D30M1D12M1I31M1D57M2I5M3D13M5I50M5D4M3I83M5D41M1I21M	4	471	476	16	498	506	496
A0A3Q7HBJ5_1_NA_C_28	AB035868_NA_C_6	50M5I13M1I45M3D10M2I20M1D11M1I82M1I3M4I8M1I144M1D50M1I20M	1	472	476	5	465	465	477
A0A3Q7HBJ5_1_NA_C_28	AB087801_NA_Baeyer_Villiger_C_6	50M5I13M1I45M3D10M2I20M1D10M1I83M5I12M1I142M1D47M1I24M	1	472	476	5	465	465	477
A0A3Q7HBJ5_1_NA_C_28	Csa1G044890_NA_C_11_C_20	45M2D8M2I11M1I48M2D24M1D16M1I26M4I7M5D44M3I4M1I13M2I5M1D54M1D81M1I4M3D40M2I2M1D20M	3	471	476	5	472	474	485
A0A3Q7HBJ5_1_NA_C_28	HQ128570_NA_C_11	13M1D16M1D17M2D9M2I11M1I44M3D6M2D5M3I14M1D16M1I26M4I7M4D49M1I3M3I9M2I5M1D54M1D81M1I4M3D40M2I2M1D20M	1	471	476	1	471	473	491
A0A3Q7HBJ5_1_NA_C_28	KM655862_NA_C_11_C_20	45M2D8M2I11M1I44M2I4M4D22M1D16M1I26M4I7M5D44M3I4M1I13M2I5M1D54M1D81M1I4M3D40M2I2M1D20M	3	471	476	5	472	474	487
A0A3Q7HBJ5_1_NA_C_28	NA_Kt_444_unknown	21M3D5M2D21M4I15M1I43M2I3M6D7M3I35M2I81M4I8M1I7M3I49M3I83M1I35M	3	439	476	2	425	428	448
A0A3Q7HBJ5_1_NA_C_28	KF318735_NA_C_16	22M2D26M2D7M2I11M1I44M6D11M3I14M1D17M1I27M2D7M2I52M4I7M3D1M4I60M1D79M1I2M1I2M4D39M2I2M1D23M	1	474	476	1	475	475	496
A0A3Q7HBJ5_1_NA_C_28	NM_001344756_1_NA_C_7	19M2D3M3D26M1D7M1I12M1I46M3D11M2I13M1D16M1I50M4I4M5D24M4I7M1I9M1D7M1I52M1D21M1D64M2D42M1I22M	1	471	476	1	475	477	491
A0A3Q7HBJ5_1_NA_C_28	MW514551_NA_C_22	22M5D26M2D7M2I11M1I46M2D9M1I17M1D13M1D5M2I46M4I4M5D24M4I7M1I71M1D10M1D14M3D3M3I50M2D45M1I25M	1	474	476	1	478	478	497
A0A3Q7HBJ5_1_NA_C_28	NM_180821_NA_C_7	21M7D26M1D7M1I12M1I48M4D7M3I14M1D16M1I50M4I4M5D24M4I7M1I69M1D21M1D61M2I3M4D40M1I22M	2	471	476	41	516	518	494
A0A3Q7HBJ5_1_NA_C_28	MW514556_NA_C_16	21M5D26M1D7M1I12M1I45M3D9M2I21M1D11M1I42M2I8M2I4M5D24M4I7M1I6M2D6M2I57M1D10M1D72M2D43M1I22M	2	471	476	3	476	479	491
A0A3Q7HBJ5_1_NA_C_28	MW514550_NA_C_22	22M5D26M2D7M2I11M1I43M1D5M3D7M3I15M1D13M1D5M2I46M4I4M5D8M4I10M1D4M1I8M1I71M1D10M1D14M3D3M3I50M2D45M1I22M	1	471	476	1	475	478	497
A0A3Q7HBJ5_1_NA_C_28	NM_001308937_NA_C_19	3M1D16M7D8M4D19M1I5M2D15M1D29M1I14M7I12M2D7M4D20M1D30M1D22M1D35M2D6M1I15M1D58M1D54M27I45M4I9M3D2M1I8M	1	474	476	1	463	463	505
A0A3Q7HBJ5_1_NA_C_28	AB233425_NA_C_22	16M1D6M3I19M5I9M2D33M1D20M3D10M2I30M5D5M1I23M1D64M1D20M4D47M1I45M1D24M2I15M3I1M7D40M2D27M	5	475	476	14	495	499	499
A0A3Q7HBJ5_1_NA_C_28	AB219423_NA_C_22	12M1D10M3I19M5I13M1D29M1D20M3D10M2I30M1I5M5D23M1D64M1D11M2I6M2D48M3I4M2D39M1D24M2I15M3I1M7D40M2D27M	5	475	476	14	490	495	498
A0A3Q7HBJ5_1_NA_C_28	ON108677_NA_C_7_C_28	28M7D10M4I25M1I33M2I10M5D19M1I23M1I26M2D7M1I13M2D4M2D2M1I28M3I6M2I66M1D6M3I10M2D3M2I22M2D4M3D38M5D52M1D16M	2	473	476	6	488	491	504
A0A3Q7HBJ5_1_NA_C_28	AY552551_NA_14__demethylation	19M2D28M5I15M1I31M1D15M2D4M2D7M3I28M1I35M1D19M3D28M3I6M2I70M2I40M3D4M2D36M7D2M2I50M1D14M	2	471	476	7	481	487	494
A0A3Q7HBJ5_1_NA_C_28	ON108670_NA_C_25_C_2	22M4D16M4I25M1I8M1D25M2I10M5D19M1I23M1I30M1D17M2D4M2D2M1I28M5I72M3D4M5I37M2D4M3D36M6D2M1I50M1D20M	2	476	476	8	491	491	505
A0A3Q7HBJ5_1_NA_C_28	ON108679_NA_C_1	13M1I10M4D11M4I25M1I33M2I10M5D5M2D7M3I28M1I26M2D4M1I16M2D4M2D2M1I12M4I6M1D15M2I66M3D4M5I37M2D4M3D36M6D2M1I50M1D20M	5	476	476	11	489	489	505
A0A3Q7HBJ5_1_NA_C_28	AB223043_NA_C_22	23M2I13M1I7M4I10M3D31M1D20M2D8M1I33M1I1M6D27M1D64M1D6M4D10M4D47M3I7M2D40M1D24M2I15M3I1M7D40M2D27M	5	475	476	14	501	501	505
A0A3Q7HBJ5_1_NA_C_28	ON108669_NA_C_19	15M5D18M4I25M1I31M2I12M5D19M1I23M1I26M2D5M1I15M3D7M1D28M3I6M2I66M1D7M2I38M2D3M3D37M7D1M2I49M1D15M	7	471	476	14	489	493	495
A0A3Q7HBJ5_1_NA_C_28	ON108678_NA_C_19	8M7D23M7D25M1I33M2I10M5D19M1I23M1I26M2D5M1I15M2D7M1D28M3I6M2I73M2I10M2D3M2I22M2D5M3D37M5D52M1D19M	13	476	476	10	495	497	501
A0A3Q7HBJ5_1_NA_C_28	KF906537_NA_C_24	14M2I15M1D8M1I7M4I14M1I31M1D16M6D11M2I31M3D28M3D20M10D13M1I16M1D12M1D8M2D7M3I45M3I86M1D4M9D44M5D22M	4	472	476	10	504	510	512
A0A3Q7HBJ5_1_NA_C_28	KF906539_NA_C_24	14M3D17M1D8M1I7M4I14M1I31M1D16M6D11M2I31M3D27M3D21M6D1M4D12M1I16M1D12M1D8M2D60M3I80M1D5M9D44M5D22M	4	472	476	16	518	524	515
A0A3Q7HBJ5_1_NA_C_28	DQ680852_NA_C_12_C_13_C_16	18M8D12M3I5M1D25M1I33M2I2M3D6M2I7M1D3M2D33M1I26M2D5M1I15M2D7M1D28M3I6M2I65M1D7M3I10M2D3M2I22M2D4M3D36M3I3M8D48M1D14M	6	471	476	5	484	490	503
A0A3Q7HBJ5_1_NA_C_28	MK803271_NA_C_23_C_24_C_25	24M1D25M1I14M1I48M7D3M1D11M3I29M1D27M1I9M2D7M1D11M6D4M2D22M4D16M1I5M3D55M3I24M2D5M1I47M1D5M3D39M2I3M8D21M2I2M	5	475	476	10	507	512	513
A0A3Q7HBJ5_1_NA_C_28	DQ335790_NA_C_24	7M1D23M1D8M1I7M4I14M1I31M1D16M6D10M2D5M4I25M3D27M3D21M6D1M4D12M1I18M2I9M4D7M2D10M1D50M3I80M1D5M9D44M5D22M	5	472	476	7	507	514	517
A0A3Q7HBJ5_1_NA_C_28	AB437320_NA_C_24	20M3D14M1D8M1I7M4I14M1I31M1D16M6D11M2I31M3D28M3D20M10D7M1I31M4D15M3D9M1I46M3I80M3D6M7D43M5D21M	1	471	476	1	507	514	520
A0A3Q7HBJ5_1_NA_C_28	KF906540_NA_C_24	15M1D15M1D8M5I21M1I31M1D16M5D14M1I28M3D32M3D17M6D1M4D12M1I18M2I8M4D8M2D55M3I88M5D3M5D43M5D24M	5	474	476	7	508	512	515
A0A3Q7HBJ5_1_NA_C_28	KF906538_NA_C_24	30M1D8M1I7M4I14M1I31M1D13M2D11M2I10M4D24M3D28M3D20M10D13M1I17M1D11M1D8M2D60M3I80M1D5M9D44M5D22M	5	472	476	20	518	525	511
A0A3Q7HBJ5_1_NA_C_28	KF906536_NA_C_24	21M4D13M1D8M1I7M4I14M1I31M1D16M6D11M2D4M4I25M3D28M3D20M10D7M1I22M1D12M1D8M2D10M3I47M3I81M1D4M9D44M5D22M	1	472	476	1	504	510	521
A0A3Q7HBJ5_1_NA_C_28	AB223041_NA_C_26	25M15D5M1I11M1I13M13D12M1I3M1I4M1D26M1D12M1D18M1I23M1I5M6D23M2D12M1D13M4D29M3I9M3D9M1D6M1D56M3I64M1D11M1I3M4D1M1D44M1D21M	1	471	476	1	514	515	527
A0A3Q7HBJ5_1_NA_C_28	MF596155_NA_C_24	27M12D3M1I19M2D5M4D5M3D8M3D4M1I4M1D26M1D54M1I5M2D24M4I2M1I14M6D7M7D24M1D12M1D9M3D6M1I56M4I63M1D12M1I4M6D43M1D21M	1	471	476	8	518	519	525
A0A3Q7HBJ5_1_NA_C_28	LC143440_NA_C_21	28M13D9M1I4M3D9M11D17M3I6M2D22M3I4M3D7M1I43M5D31M5I19M6D3M4I32M2D5M3D4M2I5M4D56M4I63M1D12M1I2M1I1M6D39M1I5M2D24M	1	476	476	1	511	511	537
A0A3Q7HBJ5_1_NA_C_28	KF460438_NA_C_28	23M1D21M4I15M1I31M1D16M6D11M2I34M1D23M1I16M2D15M8D22M5I13M3D8M1I56M3I62M1I11M7D4M3I44M6D20M2I3M	6	476	476	10	492	496	506
A0A3Q7HBJ5_1_NA_C_28	NA_Kt_281_unknown	22M1D23M3I3M1D13M1I31M2D11M2I4M7D9M1I11M1I10M1D9M3D27M3D2M6I14M5D7M6D35M20D64M3I38M1D47M1D4M9D2M2I38M2D4M1D20M	5	471	476	8	518	520	530
A0A3Q7HBJ5_1_NA_C_28	AB558153_NA_C_30	10M1I63M1I23M3D6M2D24M1I20M3D4M4D34M1I9M6D11M2D56M4I64M1D11M1I7M5D40M1D21M	60	471	476	93	522	523	439
A0A3Q7HBJ5_1_NA_C_28	KF906535_NA_C_24	20M3D14M1D8M1I7M4I14M1I31M1D16M5D14M1I15M4D12M1I28M3D14M3D3M2D5M5D6M1I24M2I9M2D5M3D10M2I45M3I85M3D6M7D43M5D24M	1	474	476	1	505	510	521
A0A3Q7HBJ5_1_NA_C_28	AEY75217_NA_C_12	21M2D22M4I14M1I21M7D9M7I11M7D3M1D10M3D4M3I20M2I26M1I14M3D12M1I5M8D33M5D15M2D55M3I30M1D53M4D43M7D6M1I18M	8	475	476	7	501	505	518
A0A3Q7HBJ5_1_NA_C_28	AF135485_NA_C_24	14M2D7M1D6M1D8M1I7M4I14M1I31M1D16M4D44M4D25M3D23M5D1M5D12M1I14M2I12M4D8M2D60M3I80M3D6M7D37M1I4M4D1M2D21M	8	471	476	8	506	513	512
A0A3Q7HBJ5_1_NA_C_28	MK803264_NA_C_21	29M1D13M1I8M3I14M1I25M1D22M6D10M4I4M2D29M1D24M1D4M6I6M7D9M1I7M8D21M4D20M2D60M3I83M4D43M8D2M1I3M1I15M	1	472	476	1	496	501	517
A0A3Q7HBJ5_1_NA_C_28	MN621243_NA_C_29	15M3D9M2D14M1I7M4I14M1I3M1I4M1D25M2D12M5D13M2I31M3D26M3D15M3D5M2D11M4D22M1D21M2D62M2I80M2I2M6D36M4D9M1I9M1D8M	5	471	476	10	504	511	509
A0A3Q7HBJ5_1_NA_C_28	DQ335780_NA_C_2	30M15D12M1I8M3D4M4D1M7D11M1I31M2I55M3D7M2D23M2D12M1D13M4D40M1I4M6D5M1I5M3D56M4I63M1D12M1I4M5D43M1D21M	1	471	476	1	517	520	528
A0A3Q7HBJ5_1_NA_C_28	MN621245_NA_C_29	24M7D7M1I6M1I6M4I15M1I24M1D6M2I7M2D8M6D3M6I11M4D24M3D26M3D15M3D5M2D11M3D16M1D6M1D9M1D12M2D61M3I81M6D2I39M6D6M3I6M1D7M2D8M	5	476	476	12	514	514	526
A0A3Q7HBJ5_1_NA_C_28	AB558146_NA_C_30	10M1D3M3I3M1D17M1I62M1I2M3D3M3D24M4I13M1D14M9D33M1I4M6D11M2D56M4I63M1D12M1I7M5D36M2D4M1D5M2I14M	59	471	476	93	523	524	448
A0A3Q7HBJ5_1_NA_C_28	MK829814_NA_C_29	25M6D13M1I7M4I14M1I31M1I9M3D4M5D13M2I31M3D26M3D15M3D5M2D11M4D22M1D21M2D61M3I80M2I4M6D36M6D5M3I9M1D11M	5	474	476	10	507	511	515
A0A3Q7HBJ5_1_NA_C_28	AB558147_NA_C_29	12M1I41M2I1M1D43M1I2M3D3M3D21M2I3M1D9M4D8M3I5M2D1M4D37M2D8M6D6M1I56M4I63M1D12M1I7M5D40M1D15M2D5M	58	470	476	92	524	524	448
A0A3Q7HBJ5_1_NA_C_28	KT150517_NA_C_23	7M1I6M1I10M2I2M16D12M1I23M1I63M5D29M2D10M1D15M4D40M1I4M3D4M6D9M2I52M4I63M1D12M1I7M5D36M1I5M2D12M2D6M	29	470	476	47	520	520	489
A0A3Q7HBJ5_1_NA_C_28	NM_124173_NA_C_15_C_16	21M11D20M1I8M3I14M1I40M2D7M5D4M1D11M3I26M3D34M1I12M17D8M3I32M2I8M1D8M1D45M3I35M1I56M9D36M2I6M4D24M	2	476	476	3	511	511	529
A0A3Q7HBJ5_1_NA_C_28	DQ335782_NA_C_23	22M11D9M1I10M2D9M4D1M7D13M1I24M1I38M1I22M3D7M2D21M4I13M2D1M1D6M6D3M2D35M1I9M6D4M4D6M2I55M4I63M1D13M6D3M2I38M2D4M1I13M2D6M	5	470	476	10	518	520	527
A0A3Q7HBJ5_1_NA_C_28	AB558145_NA_C_22	14M16D13M1I6M1I10M6D3M9D13M1I24M1I62M2I4M8D21M4I13M6D8M1D2M4D40M1I1M3D3M3D67M4I63M1D12M1I7M5D35M1I6M2D19M	9	471	476	18	527	528	527
A0A3Q7HBJ5_1_NA_C_28	OQ107266_NA_C_23	12M4D7M4D7M1I11M3D8M13D6M1D12M1I33M2I5M4D10M1D13M1I17M4D3M1I6M1D4M2D22M1I24M8D29M6I14M6D6M4I53M4I63M1D12M1I2M4D4M1D36M1I3M2D22M	5	471	476	4	506	507	526
A0A3Q7HBJ5_1_NA_C_28	KM655856_NA_C_25	38M1I7M4I14M1I16M2D2M5D9M5I4M4D14M2D8M3I33M4D24M1D7M2D13M5D3M9D5M1I21M4I8M3D64M3I34M2D3M1I47M1D8M3D40M5D2M1D3M3I16M	5	473	476	11	502	508	518
A0A3Q7HBJ5_1_NA_C_28	LC456843_NA_C_23	2M2D18M2I10M1D10M1I7M4I14M1I48M7D10M2I15M4D19M6D22M7D16M3D4M2I6M8D25M5I70M3I32M1I5M1D47M2I4M3D43M3I11M8D6M	1	470	476	1	494	510	520
A0A3Q7HBJ5_1_NA_C_28	NM_123623_NA_C_23	23M2D19M1I6M4I15M1I26M1I2M2D18M6D10M4I4M2D26M3D31M5I2M3D12M1D7M13D42M2I7M1D51M3I32M1D36M1D12M1D4M3D40M9D6M1I3M1I14M	1	471	476	1	496	497	519
A0A3Q7HBJ5_1_NA_C_28	NM_117621_NA_C_15_C_16	9M1I15M2D6M1I6M1I4M3I18M1I24M8D3M4D3M8D8M12I12M3I26M3D31M1I13M12D12M2D26M3I15M1D4M1D53M3I87M7D36M4D12M1I14M	5	471	476	13	501	513	519
AF135485_NA_C_24	AF135485_NA_C_24	513M	1	513	513	1	513	513	513
AF135485_NA_C_24	KF906540_NA_C_24	168M1I344M	1	513	513	1	512	512	513
AF135485_NA_C_24	AB437320_NA_C_24	168M1I96M2D248M	1	513	513	1	514	514	515
AF135485_NA_C_24	KF906539_NA_C_24	167M1I344M	2	513	513	14	524	524	512
AF135485_NA_C_24	KF906537_NA_C_24	23M1D145M1I115M3I226M	1	513	513	1	510	510	514
AF135485_NA_C_24	DQ335790_NA_C_24	168M1I119M1D225M	1	513	513	1	513	514	514
AF135485_NA_C_24	KF906538_NA_C_24	167M1I344M	2	513	513	14	524	525	512
AF135485_NA_C_24	KF906536_NA_C_24	24M1D144M1I115M3I226M	1	513	513	1	510	510	514
AF135485_NA_C_24	KF906535_NA_C_24	168M1I97M2I19M1I225M	1	513	513	1	509	510	513
AF135485_NA_C_24	MN621245_NA_C_29	24M2D2M3D10M1I128M1I92M1I11M1D154M6I46M1I34M	3	513	513	8	514	514	517
AF135485_NA_C_24	MK829814_NA_C_29	19M4D7M1D10M1I128M1I103M1I150M6I50M1I34M	3	513	513	6	511	511	516
AF135485_NA_C_24	KF460438_NA_C_28	4M1D26M1D7M1I12M1D116M3I25M4I29M1D32M7I140M1I15M2I3M4I52M1D26M	1	509	513	1	492	496	514
AF135485_NA_C_24	MK803264_NA_C_21	16M2I19M1I14M1D109M3I35M4I21M3D7M2I26M3D12M1I67M1D6M1I79M6I51M1D30M	1	512	513	1	501	501	521
AF135485_NA_C_24	MN621243_NA_C_29	19M4D17M1I128M1I42M2I15M2D44M1I72M1D78M6I48M1D5M2I30M	3	513	513	6	511	511	519
AF135485_NA_C_24	KM655856_NA_C_25	18M2D18M1I157M4D66M3I20M2I88M1D46M2I8M4I46M2I24M	3	507	513	4	501	508	512
AF135485_NA_C_24	AEY75217_NA_C_12	20M2D7M1I14M1D113M3I28M4I32M1D32M1D4M2D107M1D46M6I55M1D24M1I4M	11	511	513	7	501	505	510
AF135485_NA_C_24	NM_124173_NA_C_15_C_16	25M2D3M2D8M1I10M1D118M1I56M1D40M4I104M1I57M1I45M3I28M	3	507	513	8	507	511	511
AF135485_NA_C_24	NM_123623_NA_C_23	19M1D8M1I8M1I129M1I30M3D2M4I27M1D29M2I7M3I103M1D35M1D15M6I49M2D27M	2	507	513	1	497	497	515
AF135485_NA_C_24	MK803271_NA_C_23_C_24_C_25	18M2D18M1I15M4D109M3I31M4I16M1D10M2D5M1I39M2D104M1D50M6I51M1D25M	2	507	513	3	506	512	519
AF135485_NA_C_24	LC456843_NA_C_23	167M6D30M4D55M3I7M3I4M1I13M2I83M1I3M1D48M8I6M1I36M1D6M3I18M2D5M	4	506	513	1	495	510	517
AF135485_NA_C_24	NM_117621_NA_C_15_C_16	28M1D9M1I13M1D115M1I56M1D36M5I164M3I45M1I3M2I6M1D18M	2	507	513	6	502	513	510
AF135485_NA_C_24	NA_Kt_281_unknown	20M2D5M2D6M1I7M3D58M1D66M1I28M2I15M1I15M1I30M13D7M1D8M1D9M1D89M1D53M3I5M1D45M2I25M	7	508	513	4	520	520	528
AF135485_NA_C_24	NA_Kt_2465_unknown	21M1D12M1I8M2D6M1I45M2I19M1I14M1I26M6I44M10I3M3I8M1D30M10I8M3I136M11I41M1D2M6I25M	5	507	513	4	456	461	508
